skill,frequency
.NET Framework,17
.Net Core,1
.net,1
1C: Бухгалтерия,2
1С программирование,2
1С-Битрикс,3
1С: Документооборот,1
1С: Предприятие,1
1С: Предприятие 8,1
1С: Управление Торговлей,1
3D,1
3D Max,1
3D geometry,1
3D Моделирование,1
3D анимация,1
3G,1
3Par,1
4G,1
A/B тесты,6
ABC-анализ,1
ADAS,1
ANSI SQL,1
API,26
API Gateway,1
ARIS,1
ARM,3
ARPPU,2
ARPU,2
ASIC,1
ASIO,1
ASP.NET,13
AWS,21
AWS ETL,1
AWS Glue,1
Active Directory,5
ActiveMQ,1
AdHoc,1
Administrative Support,1
Adobe Illustrator,4
Adobe InDesign,1
Adobe Photoshop,12
Agile Project Management,21
Aiohttp,1
Airflow,2
Ajax,22
Akka,1
Algorithms,1
AllFusion ERwin Data Modeler,1
Allure,3
AlterX,1
Amazon,2
Amazon EC2,3
Amazon Web Services,1
Analysis,2
Analytical skills,2
Android,18
Android SDK,2
Angular,9
AngularJS,23
Animation,1
Anime studio,1
Ansi C++,1
Ansible,30
Apache,3
Apache Airflow,3
Apache Beam,3
Apache HTTP Server,12
Apache Maven,1
Apache NiFi,3
Apache Spark,3
Apache Tomcat,5
Apache2,1
Apple Swift,1
Apple deweloper,1
Application Security,1
ArcGIS,4
ArchiCAD,1
Arduino,2
Artificial intelligence,1
Artificial neural network,1
Assembler,3
Asterisk,3
Astra Linux,1
Asyncio,7
Atlassian,2
Atlassian Confluence,18
Atlassian Jira,61
Auto Layout,1
AutoCAD,2
Autodesk Maya,3
Autodesk Revit,1
Azure,3
BDD Cucumber,1
BGP,1
BI,3
BPMN,4
BSS,1
Babel,1
Bach,1
Back-End,1
Back-end,2
Backend,2
Backend QA,1
Bash,104
Behat,2
Behave,1
Big Data,45
Binary Utilization,1
Bitbucket,1
Black box testing,2
Boost,4
Bootstrap,27
Borland Delphi,2
Bug Tracking Systems,2
Bugzilla,1
Bulma,1
Business Analysis,2
Business English,5
Business Intelligence Systems,1
Business Planning,1
Business intelligence,4
C,12
C#,43
C++,163
C++03,2
C++11,2
C++14,2
C/C++,55
CCDA,1
CCNA,1
CCNP,1
CFA,1
CI,1
CI/CD,16
CI/CD methodologies,1
CI\CD,3
CMS Wordpress,6
CMake,1
CNN,1
COCOS,1
CQF,1
CRM,9
CRM Мегаплан,1
CSS,130
CSS3,32
CUDA,2
Caffe,3
Cassandra,4
CatBoost,1
Celery,17
CentOS,11
Channels,2
Chromium Embedded Framework,5
Cinema 4D,1
CircleCI,1
Cisco,8
ClickHouse,2
Clickhouse,4
Cloud,1
CloudFormation,1
Cocoa Touch,1
Cocoapods,1
Cognito,1
Communication skills,1
Compatibility Testing,1
Compilation,1
Comptia Network+,1
Computer Vision,6
Computer vision,1
Confluence,1
Consul,2
Continuous Integration,1
Cordova,1
CorelDRAW,2
Corporate Events Organization,1
Cost Analysis,1
Couchbase,1
Counsul,1
Cucumber,3
Customer Support,1
Cyber Security,1
Cистемы управления базами данных,16
DAX,2
DBA,1
DDoS Attack,1
DHCP,5
DIAMETER,1
DNS,2
DOCKER,3
DRF,3
DRY,1
DS,3
DSP,1
DWH,1
Dask,1
Data Analysis,35
Data Architect,1
Data Engineer,3
Data Mining,67
Data Mining: Business Analytica,2
Data Science,16
Data science,2
Databases,1
Debian,17
Deep Learning,11
Deep Learning algorithms,1
Deep learning,4
Design Patterns,4
DevOPS,1
DevOps,11
Device Drivers,1
